SUID;adjustedPValue_Bingo-astrocytoma-unique;description_Bingo-astrocytoma-unique;N_Bingo-astrocytoma-unique;name;nn_Bingo-astrocytoma-unique;nodeFillColor_Bingo-astrocytoma-unique;nodeFontSize_Bingo-astrocytoma-unique;nodeSize_Bingo-astrocytoma-unique;nodeType_Bingo-astrocytoma-unique;pValue_Bingo-astrocytoma-unique;selected;shared name;X_Bingo-astrocytoma-unique;xx_Bingo-astrocytoma-unique
148400;5.19E-23;post-translational protein modification;14306;43687;1266;22.28505988;14;17.32050808;ellipse;2.03E-26;false;43687;217;75
149122;3.98E-21;macromolecule modification;14306;43412;1607;20.40010591;14;18;ellipse;4.68E-24;false;43412;217;81
149923;3.98E-21;protein modification process;14306;6464;1526;20.40010591;14;17.77638883;ellipse;3.94E-24;false;6464;217;79
149898;1.96E-20;protein amino acid dephosphorylation;14306;6470;132;19.70788953;14;10.39230485;ellipse;3.55E-23;false;6470;217;27
150754;1.96E-20;cellular macromolecule metabolic process;14306;44260;3508;19.70788953;14;22;ellipse;3.84E-23;false;44260;217;121
149867;2.12E-19;dephosphorylation;14306;16311;145;18.67354058;14;10.39230485;ellipse;4.98E-22;false;16311;217;27
148685;2.15E-19;cellular protein metabolic process;14306;44267;2153;18.66669516;14;19.07878403;ellipse;5.90E-22;false;44267;217;91
148388;1.14E-18;macromolecule metabolic process;14306;43170;4017;17.94196674;14;22.53885534;ellipse;3.58E-21;false;43170;217;127
151497;1.56E-16;protein metabolic process;14306;19538;2611;15.80735225;14;19.59591794;ellipse;5.49E-19;false;19538;217;96
148343;8.28E-16;positive regulation of biological process;14306;48518;2208;15.08203273;14;18.54723699;ellipse;3.24E-18;false;48518;217;86
148856;1.34E-15;positive regulation of cellular process;14306;48522;2004;14.87143452;14;18;ellipse;5.79E-18;false;48522;217;81
149737;1.69E-15;regulation of cell proliferation;14306;42127;848;14.77156284;14;14.28285686;ellipse;7.95E-18;false;42127;217;51
150837;1.32E-14;regulation of phosphorylation;14306;42325;518;13.87817814;14;12.489996;ellipse;6.74E-17;false;42325;217;39
150836;5.30E-14;regulation of phosphate metabolic process;14306;19220;542;13.27569146;14;12.489996;ellipse;3.11E-16;false;19220;217;39
151938;5.30E-14;regulation of phosphorus metabolic process;14306;51174;542;13.27569146;14;12.489996;ellipse;3.11E-16;false;51174;217;39
149142;8.60E-14;response to organic substance;14306;10033;869;13.06569282;14;14;ellipse;5.39E-16;false;10033;217;49
148480;1.78E-13;regulation of apoptosis;14306;42981;852;12.75078667;14;13.85640646;ellipse;1.18E-15;false;42981;217;48
153649;2.41E-13;regulation of programmed cell death;14306;43067;860;12.61796993;14;13.85640646;ellipse;1.70E-15;false;43067;217;48
152719;3.13E-13;regulation of cell death;14306;10941;867;12.50510033;14;13.85640646;ellipse;2.33E-15;false;10941;217;48
148863;7.07E-13;negative regulation of biological process;14306;48519;2020;12.15060163;14;17.43559577;ellipse;5.54E-15;false;48519;217;76
148942;7.13E-13;multi-organism process;14306;51704;785;12.14717473;14;13.41640786;ellipse;5.86E-15;false;51704;217;45
148943;1.67E-12;interspecies interaction between organisms;14306;44419;327;11.77745914;14;10.77032961;ellipse;1.44E-14;false;44419;217;29
148412;2.30E-12;negative regulation of cellular process;14306;48523;1844;11.6391958;14;16.85229955;ellipse;2.07E-14;false;48523;217;71
149696;7.42E-12;phosphorus metabolic process;14306;6793;949;11.1293677;14;13.85640646;ellipse;7.27E-14;false;6793;217;48
149866;7.42E-12;phosphate metabolic process;14306;6796;949;11.1293677;14;13.85640646;ellipse;7.27E-14;false;6796;217;48
149651;9.22E-12;cellular metabolic process;14306;44237;4990;11.03545922;14;22.71563338;ellipse;9.38E-14;false;44237;217;129
148896;1.48E-11;positive regulation of cell communication;14306;10647;413;10.82993023;14;11.13552873;ellipse;1.56E-13;false;10647;217;31
151611;1.98E-11;primary metabolic process;14306;44238;5288;10.70379696;14;23.06512519;ellipse;2.17E-13;false;44238;217;133
148397;2.55E-11;cellular process;14306;9987;9370;10.59297534;14;27.49545417;ellipse;2.90E-13;false;9987;217;189
148548;2.74E-11;regulation of protein kinase activity;14306;45859;369;10.56287167;14;10.77032961;ellipse;3.21E-13;false;45859;217;29
149597;3.81E-11;positive regulation of cell proliferation;14306;8284;459;10.41937036;14;11.3137085;ellipse;4.62E-13;false;8284;217;32
148877;4.52E-11;regulation of signaling pathway;14306;35466;1003;10.3448922;14;13.85640646;ellipse;5.66E-13;false;35466;217;48
152999;6.37E-11;regulation of kinase activity;14306;43549;383;10.19615438;14;10.77032961;ellipse;8.23E-13;false;43549;217;29
148874;6.83E-11;positive regulation of macromolecule metabolic process;14306;10604;941;10.16589329;14;13.56465997;ellipse;9.09E-13;false;10604;217;46
148873;6.94E-11;positive regulation of metabolic process;14306;9893;1018;10.15888523;14;13.85640646;ellipse;9.75E-13;false;9893;217;48
149278;6.94E-11;regulation of cellular process;14306;50794;6224;10.15888523;14;24.16609195;ellipse;9.78E-13;false;50794;217;146
148364;7.76E-11;response to chemical stimulus;14306;42221;1465;10.11000775;14;15.3622915;ellipse;1.12E-12;false;42221;217;59
149543;1.28E-10;regulation of cell communication;14306;10646;1154;9.892786951;14;14.28285686;ellipse;1.90E-12;false;10646;217;51
153098;1.41E-10;regulation of transferase activity;14306;51338;398;9.851632566;14;10.77032961;ellipse;2.15E-12;false;51338;217;29
149238;2.49E-10;response to stress;14306;6950;1773;9.604521726;14;16.1245155;ellipse;3.89E-12;false;6950;217;65
149435;2.55E-10;anatomical structure morphogenesis;14306;9653;1218;9.592690335;14;14.4222051;ellipse;4.10E-12;false;9653;217;52
148897;2.93E-10;positive regulation of signal transduction;14306;9967;276;9.533679418;14;9.797958971;ellipse;4.81E-12;false;9967;217;24
148534;3.82E-10;regulation of biological process;14306;50789;6554;9.418334071;14;24.41311123;ellipse;6.43E-12;false;50789;217;149
149228;4.10E-10;positive regulation of signaling process;14306;23056;281;9.38722622;14;9.797958971;ellipse;7.06E-12;false;23056;217;24
148799;9.28E-10;enzyme linked receptor protein signaling pathway;14306;7167;346;9.032605783;14;10.19803903;ellipse;1.63E-11;false;7167;217;26
148860;1.31E-09;positive regulation of signaling pathway;14306;35468;380;8.883162459;14;10.39230485;ellipse;2.36E-11;false;35468;217;27
149398;1.42E-09;regulation of signal transduction;14306;9966;773;8.847928697;14;12.489996;ellipse;2.61E-11;false;9966;217;39
150157;1.49E-09;regulation of metabolic process;14306;19222;3919;8.826518683;14;20.49390153;ellipse;2.80E-11;false;19222;217;105
152327;1.65E-09;regulation of signaling process;14306;23051;778;8.781823853;14;12.489996;ellipse;3.17E-11;false;23051;217;39
150147;3.09E-09;regulation of catalytic activity;14306;50790;907;8.509763925;14;12.9614814;ellipse;6.05E-11;false;50790;217;42
152681;4.10E-09;biological regulation;14306;65007;6943;8.387288841;14;24.65765601;ellipse;8.19E-11;false;65007;217;152
149158;5.46E-09;metabolic process;14306;8152;5959;8.262633876;14;23.40939982;ellipse;1.11E-10;false;8152;217;137
149351;5.81E-09;positive regulation of cellular metabolic process;14306;31325;966;8.235948015;14;13.11487705;ellipse;1.21E-10;false;31325;217;43
150098;5.81E-09;regulation of protein metabolic process;14306;51246;635;8.235948015;14;11.66190379;ellipse;1.23E-10;false;51246;217;34
151218;8.23E-09;regulation of cell cycle;14306;51726;446;8.084488204;14;10.58300524;ellipse;1.77E-10;false;51726;217;28
151023;9.38E-09;regulation of molecular function;14306;65009;1062;8.027843748;14;13.41640786;ellipse;2.06E-10;false;65009;217;45
148600;1.57E-08;regulation of cellular metabolic process;14306;31323;3736;7.802986574;14;19.89974874;ellipse;3.51E-10;false;31323;217;99
149494;1.82E-08;signal transduction;14306;7165;1878;7.739749763;14;15.87450787;ellipse;4.13E-10;false;7165;217;63
151759;3.69E-08;cell cycle;14306;7049;794;7.433346468;14;12.16552506;ellipse;8.52E-10;false;7049;217;37
148800;3.98E-08;transmembrane receptor protein tyrosine kinase signaling pathway;14306;7169;219;7.400608202;14;8.717797887;ellipse;9.34E-10;false;7169;217;19
152347;6.71E-08;positive regulation of protein metabolic process;14306;51247;307;7.173170801;14;9.38083152;ellipse;1.60E-09;false;51247;217;22
148504;8.61E-08;signaling pathway;14306;23033;2100;7.065156776;14;16.24807681;ellipse;2.11E-09;false;23033;217;66
149254;8.61E-08;signaling;14306;23052;3131;7.065156776;14;18.54723699;ellipse;2.12E-09;false;23052;217;86
151140;9.74E-08;response to abiotic stimulus;14306;9628;404;7.011232783;14;10;ellipse;2.44E-09;false;9628;217;25
148358;1.24E-07;response to hormone stimulus;14306;9725;441;6.904941478;14;10.19803903;ellipse;3.17E-09;false;9725;217;26
148331;1.59E-07;regulation of intracellular protein kinase cascade;14306;10627;323;6.797346413;14;9.38083152;ellipse;4.12E-09;false;10627;217;22
149200;1.76E-07;positive regulation of cell death;14306;10942;449;6.755077521;14;10.19803903;ellipse;4.61E-09;false;10942;217;26
148887;1.79E-07;positive regulation of biosynthetic process;14306;9891;731;6.746809357;14;11.66190379;ellipse;4.77E-09;false;9891;217;34
149902;2.14E-07;regulation of growth;14306;40008;359;6.670285604;14;9.591663047;ellipse;5.77E-09;false;40008;217;23
148472;2.36E-07;cellular component organization;14306;16043;2563;6.627283872;14;17.20465053;ellipse;6.47E-09;false;16043;217;74
148797;2.70E-07;response to endogenous stimulus;14306;9719;493;6.569250442;14;10.39230485;ellipse;7.50E-09;false;9719;217;27
148610;2.99E-07;negative regulation of metabolic process;14306;9892;864;6.525049655;14;12.16552506;ellipse;8.42E-09;false;9892;217;37
148888;3.14E-07;positive regulation of macromolecule biosynthetic process;14306;10557;675;6.502441248;14;11.3137085;ellipse;9.11E-09;false;10557;217;32
150314;3.14E-07;cellular response to stimulus;14306;51716;987;6.502441248;14;12.64911064;ellipse;9.00E-09;false;51716;217;40
150205;4.70E-07;negative regulation of apoptosis;14306;43066;376;6.327969147;14;9.591663047;ellipse;1.38E-08;false;43066;217;23
