SUID;adjustedPValue_Bingo-gbm-unique;description_Bingo-gbm-unique;N_Bingo-gbm-unique;name;nn_Bingo-gbm-unique;nodeFillColor_Bingo-gbm-unique;nodeFontSize_Bingo-gbm-unique;nodeSize_Bingo-gbm-unique;nodeType_Bingo-gbm-unique;pValue_Bingo-gbm-unique;selected;shared name;X_Bingo-gbm-unique;xx_Bingo-gbm-unique
113667;2.48E-63;cellular macromolecule metabolic process;14305;44260;3507;62.60531802;14;45.51922671;ellipse;6.25E-67;false;44260;1087;518
113467;2.32E-52;macromolecule metabolic process;14305;43170;4016;51.63427623;14;46.47580015;ellipse;1.17E-55;false;43170;1087;540
111246;1.80E-49;cellular protein metabolic process;14305;44267;2152;48.74552586;14;37.68288736;ellipse;1.36E-52;false;44267;1087;355
117287;2.02E-45;cell cycle;14305;7049;794;44.69435441;14;27.4226184;ellipse;2.04E-48;false;7049;1087;188
112058;2.81E-45;cellular metabolic process;14305;44237;4989;44.55192062;14;49.1934955;ellipse;3.53E-48;false;44237;1087;605
113887;4.26E-42;primary metabolic process;14305;44238;5287;41.37099773;14;49.83974318;ellipse;6.43E-45;false;44238;1087;621
111187;5.24E-40;cellular process;14305;9987;9369;39.28064417;14;60.23288139;ellipse;9.24E-43;false;9987;1087;907
114542;8.36E-39;translational elongation;14305;6414;97;38.07799769;14;15.3622915;ellipse;1.68E-41;false;6414;1087;59
113767;1.46E-38;protein metabolic process;14305;19538;2610;37.83505565;14;38.78143886;ellipse;3.32E-41;false;19538;1087;376
111092;1.65E-36;cell cycle process;14305;22402;582;35.78336713;14;24;ellipse;4.15E-39;false;22402;1087;144
113763;6.30E-36;regulation of cell cycle;14305;51726;446;35.20079411;14;22.18107301;ellipse;1.75E-38;false;51726;1087;123
111412;1.21E-34;positive regulation of cellular process;14305;48522;2004;33.915809;14;34.98571137;ellipse;3.67E-37;false;48522;1087;306
111663;2.94E-33;metabolic process;14305;8152;5958;32.5323227;14;50.95095681;ellipse;9.61E-36;false;8152;1087;649
112559;1.22E-32;mitotic cell cycle;14305;278;380;31.91292906;14;20.78460969;ellipse;4.31E-35;false;278;1087;108
112395;1.96E-32;positive regulation of biological process;14305;48518;2208;31.70859583;14;35.83294573;ellipse;7.39E-35;false;48518;1087;321
111678;2.15E-28;negative regulation of biological process;14305;48519;2020;27.6677944;14;34.17601498;ellipse;8.66E-31;false;48519;1087;292
111032;2.54E-28;negative regulation of cellular process;14305;48523;1844;27.59602803;14;33.10589071;ellipse;1.09E-30;false;48523;1087;274
114088;4.12E-27;cell cycle phase;14305;22403;435;26.38550948;14;20.78460969;ellipse;1.87E-29;false;22403;1087;108
111039;1.80E-26;translation;14305;6412;290;25.74357547;14;18.43908891;ellipse;8.64E-29;false;6412;1087;85
111084;2.15E-25;cellular component organization;14305;16043;2562;24.66765277;14;36.66060556;ellipse;1.08E-27;false;16043;1087;336
113141;7.63E-25;organelle organization;14305;6996;1381;24.11730467;14;29.46183973;ellipse;4.04E-27;false;6996;1087;217
111136;1.35E-24;regulation of biological process;14305;50789;6554;23.86974894;14;51.65268628;ellipse;7.48E-27;false;50789;1087;667
112449;2.44E-24;regulation of protein metabolic process;14305;51246;635;23.61332479;14;22.8035085;ellipse;1.47E-26;false;51246;1087;130
112639;2.44E-24;nucleic acid metabolic process;14305;90304;1460;23.61332479;14;29.93325909;ellipse;1.45E-26;false;90304;1087;224
111508;3.61E-24;nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;14305;6139;1786;23.44269742;14;32.06243908;ellipse;2.27E-26;false;6139;1087;257
113553;5.05E-24;regulation of molecular function;14305;65009;1062;23.29646209;14;26.83281573;ellipse;3.31E-26;false;65009;1087;180
111781;1.46E-23;regulation of cellular process;14305;50794;6224;22.83680742;14;50.51732376;ellipse;9.91E-26;false;50794;1087;638
113669;2.49E-23;cellular macromolecule biosynthetic process;14305;34645;1032;22.60372005;14;26.45751311;ellipse;1.76E-25;false;34645;1087;175
111014;4.81E-23;post-translational protein modification;14305;43687;1266;22.31770656;14;28.28427125;ellipse;3.52E-25;false;43687;1087;200
111038;7.22E-23;gene expression;14305;10467;1261;22.14164829;14;28.21347196;ellipse;5.46E-25;false;10467;1087;199
114254;8.88E-23;macromolecule biosynthetic process;14305;9059;1053;22.05153238;14;26.53299832;ellipse;6.94E-25;false;9059;1087;176
114921;1.64E-21;biological regulation;14305;65007;6943;20.78648093;14;52.34500931;ellipse;1.32E-23;false;65007;1087;685
114518;2.39E-21;cell division;14305;51301;314;20.62182122;14;18;ellipse;1.99E-23;false;51301;1087;81
112509;2.98E-21;regulation of catalytic activity;14305;50790;907;20.52649397;14;24.97999199;ellipse;2.55E-23;false;50790;1087;156
111706;3.99E-21;regulation of cellular protein metabolic process;14305;32268;559;20.39899116;14;21.3541565;ellipse;3.52E-23;false;32268;1087;114
113145;9.68E-21;regulation of phosphorylation;14305;42325;518;20.01413783;14;20.78460969;ellipse;8.78E-23;false;42325;1087;108
113144;1.02E-20;regulation of phosphate metabolic process;14305;19220;542;19.99298188;14;21.07130751;ellipse;9.73E-23;false;19220;1087;111
114201;1.02E-20;regulation of phosphorus metabolic process;14305;51174;542;19.99298188;14;21.07130751;ellipse;9.73E-23;false;51174;1087;111
112147;7.43E-20;regulation of cell proliferation;14305;42127;848;19.12914121;14;24.16609195;ellipse;7.30E-22;false;42127;1087;146
115067;2.36E-19;regulation of cell death;14305;10941;867;18.62753546;14;24.24871131;ellipse;2.38E-21;false;10941;1087;147
120712;2.83E-19;regulation of programmed cell death;14305;43067;860;18.54797639;14;24.16609195;ellipse;2.93E-21;false;43067;1087;146
115330;4.36E-19;negative regulation of metabolic process;14305;9892;864;18.36087;14;24.16609195;ellipse;4.61E-21;false;9892;1087;146
111410;7.84E-19;positive regulation of macromolecule metabolic process;14305;10604;941;18.10593171;14;24.81934729;ellipse;8.49E-21;false;10604;1087;154
111089;7.91E-19;regulation of apoptosis;14305;42981;852;18.10193154;14;24;ellipse;8.77E-21;false;42981;1087;144
112707;1.06E-18;negative regulation of macromolecule metabolic process;14305;10605;802;17.97655348;14;23.49468025;ellipse;1.20E-20;false;10605;1087;138
111409;1.13E-18;positive regulation of metabolic process;14305;9893;1018;17.94535878;14;25.45584412;ellipse;1.31E-20;false;9893;1087;162
112034;1.49E-18;positive regulation of cellular metabolic process;14305;31325;966;17.82821824;14;24.97999199;ellipse;1.76E-20;false;31325;1087;156
118039;2.02E-18;interspecies interaction between organisms;14305;44419;327;17.69550984;14;17.66352173;ellipse;2.44E-20;false;44419;1087;78
112298;2.46E-18;protein modification process;14305;6464;1526;17.60910288;14;29.25747768;ellipse;3.04E-20;false;6464;1087;214
111991;3.11E-18;negative regulation of cellular metabolic process;14305;31324;786;17.50664895;14;23.23790008;ellipse;3.93E-20;false;31324;1087;135
114089;3.11E-18;M phase;14305;279;351;17.50664895;14;18;ellipse;4.00E-20;false;279;1087;81
114494;3.34E-18;regulation of protein modification process;14305;31399;366;17.47688352;14;18.22086716;ellipse;4.37E-20;false;31399;1087;83
114591;4.09E-18;cellular nitrogen compound metabolic process;14305;34641;2078;17.38870843;14;32.68026928;ellipse;5.46E-20;false;34641;1087;267
115456;1.55E-17;interphase;14305;51325;106;16.80985538;14;12.80624847;ellipse;2.11E-19;false;51325;1087;41
114217;2.33E-17;interphase of mitotic cell cycle;14305;51329;102;16.63219798;14;12.64911064;ellipse;3.23E-19;false;51329;1087;40
111625;2.42E-17;macromolecule modification;14305;43412;1607;16.6155649;14;29.59729717;ellipse;3.42E-19;false;43412;1087;219
111105;7.46E-17;DNA metabolic process;14305;6259;517;16.12708414;14;20;ellipse;1.07E-18;false;6259;1087;100
116686;1.76E-16;M phase of mitotic cell cycle;14305;87;239;15.75529459;14;15.74801575;ellipse;2.57E-18;false;87;1087;62
114590;2.61E-16;nitrogen compound metabolic process;14305;6807;2196;15.58378805;14;32.984845;ellipse;3.88E-18;false;6807;1087;272
111707;3.11E-16;positive regulation of cellular protein metabolic process;14305;32270;290;15.50691974;14;16.61324773;ellipse;4.70E-18;false;32270;1087;69
119879;5.19E-16;positive regulation of protein metabolic process;14305;51247;307;15.28476334;14;16.85229955;ellipse;7.98E-18;false;51247;1087;71
112251;2.41E-15;positive regulation of protein modification process;14305;31401;231;14.61851203;14;15.3622915;ellipse;3.82E-17;false;31401;1087;59
116367;2.41E-15;regulation of kinase activity;14305;43549;383;14.61851203;14;17.88854382;ellipse;3.81E-17;false;43549;1087;80
112543;2.91E-15;mitosis;14305;7067;232;14.53684736;14;15.3622915;ellipse;4.76E-17;false;7067;1087;59
113512;2.91E-15;nuclear division;14305;280;232;14.53684736;14;15.3622915;ellipse;4.76E-17;false;280;1087;59
112522;3.77E-15;regulation of metabolic process;14305;19222;3919;14.42367218;14;40.93897898;ellipse;6.27E-17;false;19222;1087;419
112805;4.62E-15;cellular response to stimulus;14305;51716;987;14.33490788;14;24.41311123;ellipse;7.81E-17;false;51716;1087;149
111197;6.07E-15;cellular biosynthetic process;14305;44249;1686;14.21646245;14;29.59729717;ellipse;1.04E-16;false;44249;1087;219
113142;1.85E-14;organelle fission;14305;48285;241;13.73353938;14;15.3622915;ellipse;3.21E-16;false;48285;1087;59
120360;2.21E-14;regulation of transferase activity;14305;51338;398;13.65481602;14;17.88854382;ellipse;3.90E-16;false;51338;1087;80
113240;3.07E-14;multi-organism process;14305;51704;785;13.5130943;14;22.36067977;ellipse;5.49E-16;false;51704;1087;125
112110;5.39E-14;phosphorus metabolic process;14305;6793;949;13.26868612;14;23.83275058;ellipse;9.91E-16;false;6793;1087;142
112232;5.39E-14;phosphate metabolic process;14305;6796;949;13.26868612;14;23.83275058;ellipse;9.91E-16;false;6796;1087;142
111029;7.27E-14;regulation of cellular component organization;14305;51128;538;13.13844628;14;19.59591794;ellipse;1.36E-15;false;51128;1087;96
115422;7.47E-14;ubiquitin-dependent protein catabolic process;14305;6511;277;13.12697038;14;15.87450787;ellipse;1.41E-15;false;6511;1087;63
111172;9.63E-14;regulation of cell cycle process;14305;10564;138;13.0163802;14;12.9614814;ellipse;1.84E-15;false;10564;1087;42
111592;1.19E-13;biosynthetic process;14305;9058;1796;12.92296682;14;30;ellipse;2.32E-15;false;9058;1087;225
112019;1.21E-13;positive regulation of cell proliferation;14305;8284;459;12.91636466;14;18.54723699;ellipse;2.38E-15;false;8284;1087;86
112387;1.22E-13;positive regulation of molecular function;14305;44093;638;12.91422914;14;20.68816087;ellipse;2.43E-15;false;44093;1087;107
111801;1.61E-13;regulation of DNA replication;14305;6275;74;12.79328288;14;10.95445115;ellipse;3.24E-15;false;6275;1087;30
114366;1.69E-13;modification-dependent macromolecule catabolic process;14305;43632;282;12.7731957;14;15.87450787;ellipse;3.48E-15;false;43632;1087;63
118492;1.69E-13;modification-dependent protein catabolic process;14305;19941;282;12.7731957;14;15.87450787;ellipse;3.48E-15;false;19941;1087;63
115631;2.25E-13;cellular component biogenesis;14305;44085;1034;12.64704184;14;24.41311123;ellipse;4.71E-15;false;44085;1087;149
111778;2.37E-13;DNA replication;14305;6260;186;12.62488232;14;14;ellipse;5.02E-15;false;6260;1087;49
111163;2.53E-13;regulation of macromolecule metabolic process;14305;60255;3377;12.59773806;14;38.20994635;ellipse;5.41E-15;false;60255;1087;365
114059;2.98E-13;regulation of organelle organization;14305;33043;242;12.5263114;14;15.09966887;ellipse;6.45E-15;false;33043;1087;57
113057;3.14E-13;regulation of cellular metabolic process;14305;31323;3736;12.50335317;14;39.74921383;ellipse;6.88E-15;false;31323;1087;395
114530;4.69E-13;negative regulation of cell cycle;14305;45786;176;12.32892134;14;13.7113092;ellipse;1.04E-14;false;45786;1087;47
111316;4.81E-13;proteolysis involved in cellular protein catabolic process;14305;51603;311;12.31815507;14;16.24807681;ellipse;1.08E-14;false;51603;1087;66
111006;7.66E-13;cellular protein catabolic process;14305;44257;314;12.11582181;14;16.24807681;ellipse;1.76E-14;false;44257;1087;66
113962;7.66E-13;negative regulation of protein metabolic process;14305;51248;212;12.11582181;14;14.4222051;ellipse;1.75E-14;false;51248;1087;52
115518;1.37E-12;regulation of DNA metabolic process;14305;51052;130;11.86220307;14;12.489996;ellipse;3.18E-14;false;51052;1087;39
115546;2.57E-12;regulation of protein kinase activity;14305;45859;369;11.58981733;14;16.97056275;ellipse;6.03E-14;false;45859;1087;72
113029;3.64E-12;negative regulation of cellular protein metabolic process;14305;32269;199;11.43913714;14;14;ellipse;8.62E-14;false;32269;1087;49
111913;6.05E-12;regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;14305;51439;68;11.21828995;14;10.39230485;ellipse;1.45E-13;false;51439;1087;27
112557;6.52E-12;positive regulation of catalytic activity;14305;43085;553;11.18560252;14;19.28730152;ellipse;1.58E-13;false;43085;1087;93
111118;6.62E-12;intracellular signaling pathway;14305;23034;1158;11.17921569;14;25.05992817;ellipse;1.62E-13;false;23034;1087;157
111376;9.70E-12;cellular response to stress;14305;33554;619;11.01306133;14;20;ellipse;2.40E-13;false;33554;1087;100
111005;9.88E-12;protein catabolic process;14305;30163;339;11.00518209;14;16.37070554;ellipse;2.46E-13;false;30163;1087;67
111362;1.12E-11;transmembrane receptor protein tyrosine kinase signaling pathway;14305;7169;219;10.95095696;14;14.28285686;ellipse;2.82E-13;false;7169;1087;51
116226;1.23E-11;regulation of cyclin-dependent protein kinase activity;14305;79;60;10.91016515;14;10;ellipse;3.13E-13;false;79;1087;25
113456;1.30E-11;positive regulation of ubiquitin-protein ligase activity;14305;51443;70;10.88633783;14;10.39230485;ellipse;3.34E-13;false;51443;1087;27
111965;1.59E-11;cellular macromolecule catabolic process;14305;44265;441;10.79728436;14;17.77638883;ellipse;4.14E-13;false;44265;1087;79
111912;1.60E-11;regulation of ubiquitin-protein ligase activity;14305;51438;81;10.79572545;14;10.77032961;ellipse;4.19E-13;false;51438;1087;29
111649;1.95E-11;response to organic substance;14305;10033;869;10.70921165;14;22.44994432;ellipse;5.17E-13;false;10033;1087;126
111361;2.51E-11;enzyme linked receptor protein signaling pathway;14305;7167;346;10.59957269;14;16.37070554;ellipse;6.72E-13;false;7167;1087;67
113055;2.77E-11;cellular component assembly;14305;22607;912;10.55827984;14;22.8035085;ellipse;7.45E-13;false;22607;1087;130
111826;2.88E-11;response to DNA damage stimulus;14305;6974;396;10.54097709;14;17.08800749;ellipse;7.83E-13;false;6974;1087;73
112862;3.81E-11;negative regulation of protein modification process;14305;31400;137;10.41955051;14;12.32882801;ellipse;1.05E-12;false;31400;1087;38
117235;3.95E-11;positive regulation of ligase activity;14305;51351;73;10.4032265;14;10.39230485;ellipse;1.10E-12;false;51351;1087;27
115590;4.10E-11;positive regulation of protein ubiquitination;14305;31398;95;10.38735077;14;11.13552873;ellipse;1.15E-12;false;31398;1087;31
116286;4.32E-11;regulation of ligase activity;14305;51340;84;10.36445837;14;10.77032961;ellipse;1.22E-12;false;51340;1087;29
116935;5.62E-11;regulation of primary metabolic process;14305;80090;3554;10.250604;14;38.41874542;ellipse;1.60E-12;false;80090;1087;369
113457;6.26E-11;positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;14305;51437;64;10.20345944;14;10;ellipse;1.80E-12;false;51437;1087;25
114433;7.48E-11;regulation of protein ubiquitination;14305;31396;121;10.12639055;14;11.83215957;ellipse;2.17E-12;false;31396;1087;35
111370;8.25E-11;RNA metabolic process;14305;16070;966;10.08364045;14;23.15167381;ellipse;2.41E-12;false;16070;1087;134
116384;8.59E-11;regulation of mitotic cell cycle;14305;7346;174;10.06598025;14;13.11487705;ellipse;2.53E-12;false;7346;1087;43
115364;8.92E-11;negative regulation of cell death;14305;60548;389;10.04973471;14;16.85229955;ellipse;2.67E-12;false;60548;1087;71
118430;8.92E-11;cytoskeleton organization;14305;7010;448;10.04973471;14;17.66352173;ellipse;2.66E-12;false;7010;1087;78
115423;2.62E-10;proteasomal ubiquitin-dependent protein catabolic process;14305;43161;139;9.582521986;14;12.16552506;ellipse;8.04E-12;false;43161;1087;37
119009;2.62E-10;negative regulation of programmed cell death;14305;43069;381;9.582521986;14;16.61324773;ellipse;7.97E-12;false;43069;1087;69
121591;2.62E-10;proteasomal protein catabolic process;14305;10498;139;9.582521986;14;12.16552506;ellipse;8.04E-12;false;10498;1087;37
112462;3.03E-10;negative regulation of molecular function;14305;44092;374;9.518783717;14;16.4924225;ellipse;9.43E-12;false;44092;1087;68
116910;3.03E-10;anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process;14305;31145;63;9.518783717;14;9.797958971;ellipse;9.46E-12;false;31145;1087;24
118186;3.14E-10;macromolecular complex subunit organization;14305;43933;723;9.50334032;14;20.68816087;ellipse;9.88E-12;false;43933;1087;107
111505;5.03E-10;response to chemical stimulus;14305;42221;1465;9.298801523;14;26.83281573;ellipse;1.60E-11;false;42221;1087;180
112353;5.06E-10;phosphorylation;14305;16310;786;9.296238226;14;21.26029163;ellipse;1.62E-11;false;16310;1087;113
119647;6.40E-10;macromolecular complex assembly;14305;65003;675;9.193828437;14;20.09975124;ellipse;2.06E-11;false;65003;1087;101
112347;7.48E-10;macromolecule catabolic process;14305;9057;503;9.126219811;14;18.11077028;ellipse;2.43E-11;false;9057;1087;82
111444;7.82E-10;cellular response to chemical stimulus;14305;70887;399;9.107066714;14;16.73320053;ellipse;2.56E-11;false;70887;1087;70
111000;1.01E-09;cellular response to organic substance;14305;71310;239;8.994772057;14;14.14213562;ellipse;3.34E-11;false;71310;1087;50
113097;1.02E-09;negative regulation of apoptosis;14305;43066;376;8.992343186;14;16.37070554;ellipse;3.41E-11;false;43066;1087;67
114534;1.02E-09;signal transduction;14305;7165;1878;8.992343186;14;29.46183973;ellipse;3.39E-11;false;7165;1087;217
112430;1.69E-09;cellular macromolecular complex subunit organization;14305;34621;355;8.772755267;14;16;ellipse;5.70E-11;false;34621;1087;64
112510;2.35E-09;negative regulation of catalytic activity;14305;43086;300;8.628875398;14;15.09966887;ellipse;7.99E-11;false;43086;1087;57
114334;2.78E-09;positive regulation of biosynthetic process;14305;9891;731;8.555753023;14;20.49390153;ellipse;9.53E-11;false;9891;1087;105
113579;3.05E-09;positive regulation of macromolecule biosynthetic process;14305;10557;675;8.515940214;14;19.89974874;ellipse;1.05E-10;false;10557;1087;99
112172;3.27E-09;protein amino acid phosphorylation;14305;6468;657;8.485649163;14;19.6977156;ellipse;1.14E-10;false;6468;1087;97
111992;3.66E-09;negative regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;14305;45934;556;8.436096648;14;18.54723699;ellipse;1.28E-10;false;45934;1087;86
118148;4.03E-09;positive regulation of cell death;14305;10942;449;8.394462195;14;17.20465053;ellipse;1.42E-10;false;10942;1087;74
115548;4.85E-09;positive regulation of apoptosis;14305;43065;442;8.313941456;14;17.08800749;ellipse;1.72E-10;false;43065;1087;73
111496;6.08E-09;chromosome organization;14305;51276;525;8.216417064;14;18.11077028;ellipse;2.17E-10;false;51276;1087;82
117050;6.22E-09;negative regulation of nitrogen compound metabolic process;14305;51172;562;8.206427903;14;18.54723699;ellipse;2.24E-10;false;51172;1087;86
112875;6.50E-09;DNA repair;14305;6281;300;8.186795867;14;14.96662955;ellipse;2.38E-10;false;6281;1087;56
118930;6.50E-09;positive regulation of programmed cell death;14305;43068;445;8.186795867;14;17.08800749;ellipse;2.37E-10;false;43068;1087;73
118592;9.49E-09;negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;14305;51436;62;8.022793696;14;9.38083152;ellipse;3.49E-10;false;51436;1087;22
111381;1.08E-08;positive regulation of cellular biosynthetic process;14305;31328;720;7.968168391;14;20.19900988;ellipse;3.99E-10;false;31328;1087;102
114104;1.51E-08;cellular macromolecular complex assembly;14305;34622;315;7.819795491;14;15.09966887;ellipse;5.65E-10;false;34622;1087;57
113066;1.52E-08;DNA-dependent DNA replication;14305;6261;58;7.81808272;14;9.16515139;ellipse;5.71E-10;false;6261;1087;21
116900;1.59E-08;positive regulation of nitrogen compound metabolic process;14305;51173;677;7.799536294;14;19.6977156;ellipse;6.00E-10;false;51173;1087;97
111248;1.78E-08;negative regulation of macromolecule biosynthetic process;14305;10558;593;7.75075318;14;18.76166304;ellipse;6.75E-10;false;10558;1087;88
116409;3.07E-08;intracellular receptor mediated signaling pathway;14305;30522;77;7.513058281;14;9.797958971;ellipse;1.18E-09;false;30522;1087;24
113939;3.08E-08;cell proliferation;14305;8283;434;7.511094974;14;16.73320053;ellipse;1.19E-09;false;8283;1087;70
114520;3.53E-08;negative regulation of ubiquitin-protein ligase activity;14305;51444;66;7.451740698;14;9.38083152;ellipse;1.38E-09;false;51444;1087;22
114752;3.53E-08;negative regulation of ligase activity;14305;51352;66;7.451740698;14;9.38083152;ellipse;1.38E-09;false;51352;1087;22
113816;4.01E-08;negative regulation of protein ubiquitination;14305;31397;78;7.396699224;14;9.797958971;ellipse;1.58E-09;false;31397;1087;24
111117;5.47E-08;signaling pathway;14305;23033;2100;7.26215708;14;30.2654919;ellipse;2.16E-09;false;23033;1087;229
112343;6.05E-08;positive regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;14305;45935;656;7.218084758;14;19.28730152;ellipse;2.41E-09;false;45935;1087;93
111511;6.48E-08;anatomical structure development;14305;48856;2656;7.188250479;14;33.28663395;ellipse;2.60E-09;false;48856;1087;277
114132;7.80E-08;negative regulation of biosynthetic process;14305;9890;621;7.107816837;14;18.86796226;ellipse;3.16E-09;false;9890;1087;89
120552;7.80E-08;G1/S transition of mitotic cell cycle;14305;82;52;7.107816837;14;8.717797887;ellipse;3.16E-09;false;82;1087;19
117299;8.52E-08;protein modification by small protein conjugation or removal;14305;70647;255;7.069367918;14;13.85640646;ellipse;3.48E-09;false;70647;1087;48
113154;1.08E-07;RNA processing;14305;6396;568;6.966767681;14;18.22086716;ellipse;4.43E-09;false;6396;1087;83
111086;1.12E-07;regulation of protein amino acid phosphorylation;14305;1932;217;6.952453873;14;13.11487705;ellipse;4.61E-09;false;1932;1087;43
115755;1.12E-07;signaling;14305;23052;3131;6.951888357;14;35.55277767;ellipse;4.64E-09;false;23052;1087;316
112705;1.16E-07;positive regulation of cell cycle;14305;45787;70;6.936220684;14;9.38083152;ellipse;4.84E-09;false;45787;1087;22
118539;1.26E-07;cell cycle arrest;14305;7050;108;6.898650892;14;10.58300524;ellipse;5.31E-09;false;7050;1087;28
111568;1.49E-07;regulation of cellular component biogenesis;14305;44087;158;6.825425701;14;11.83215957;ellipse;6.33E-09;false;44087;1087;35
114795;1.55E-07;negative regulation of cellular biosynthetic process;14305;31327;611;6.810390151;14;18.65475811;ellipse;6.59E-09;false;31327;1087;87
111272;1.62E-07;negative regulation of DNA replication;14305;8156;34;6.791386339;14;7.745966692;ellipse;6.92E-09;false;8156;1087;15
113155;2.01E-07;RNA splicing;14305;8380;287;6.696378472;14;14.28285686;ellipse;8.67E-09;false;8380;1087;51
112823;2.47E-07;epidermal growth factor receptor signaling pathway;14305;7173;26;6.606598748;14;7.211102551;ellipse;1.07E-08;false;7173;1087;13
116918;2.77E-07;regulation of binding;14305;51098;200;6.557225389;14;12.64911064;ellipse;1.21E-08;false;51098;1087;40
111305;2.97E-07;organ development;14305;48513;1792;6.527956725;14;28.14249456;ellipse;1.30E-08;false;48513;1087;198
111133;3.50E-07;actin filament-based process;14305;30029;250;6.456138116;14;13.56465997;ellipse;1.54E-08;false;30029;1087;46
112618;3.95E-07;negative regulation of DNA metabolic process;14305;51053;46;6.403092121;14;8.246211251;ellipse;1.75E-08;false;51053;1087;17
114916;4.18E-07;cell cycle checkpoint;14305;75;107;6.378859766;14;10.39230485;ellipse;1.86E-08;false;75;1087;27
111623;5.14E-07;cellular catabolic process;14305;44248;776;6.288759227;14;20.19900988;ellipse;2.33E-08;false;44248;1087;102
111743;5.14E-07;signaling process;14305;23046;2157;6.288759227;14;30.2654919;ellipse;2.33E-08;false;23046;1087;229
112789;5.14E-07;signal transmission;14305;23060;2157;6.288759227;14;30.2654919;ellipse;2.33E-08;false;23060;1087;229
112632;5.39E-07;response to stress;14305;6950;1773;6.268262783;14;27.92848009;ellipse;2.47E-08;false;6950;1087;195
113009;5.39E-07;regulation of nucleocytoplasmic transport;14305;46822;82;6.268262783;14;9.591663047;ellipse;2.47E-08;false;46822;1087;23
111570;6.18E-07;positive regulation of cellular component organization;14305;51130;222;6.208928957;14;12.9614814;ellipse;2.85E-08;false;51130;1087;42
111212;6.20E-07;protein modification by small protein conjugation;14305;32446;206;6.207378375;14;12.64911064;ellipse;2.88E-08;false;32446;1087;40
111843;6.90E-07;DNA-dependent DNA replication initiation;14305;6270;16;6.161169075;14;6.32455532;ellipse;3.23E-08;false;6270;1087;10
118341;6.90E-07;mitotic spindle organization;14305;7052;16;6.161169075;14;6.32455532;ellipse;3.23E-08;false;7052;1087;10
114107;6.98E-07;anti-apoptosis;14305;6916;199;6.156026287;14;12.489996;ellipse;3.29E-08;false;6916;1087;39
111909;7.53E-07;system development;14305;48731;2422;6.12316733;14;31.68595904;ellipse;3.57E-08;false;48731;1087;251
114046;8.20E-07;DNA conformation change;14305;71103;139;6.086023454;14;11.13552873;ellipse;3.91E-08;false;71103;1087;31
113677;8.40E-07;posttranscriptional regulation of gene expression;14305;10608;241;6.075851144;14;13.26649916;ellipse;4.02E-08;false;10608;1087;44
115603;8.53E-07;protein amino acid dephosphorylation;14305;6470;132;6.06920135;14;10.95445115;ellipse;4.10E-08;false;6470;1087;30
112760;8.78E-07;immune system development;14305;2520;275;6.056356202;14;13.85640646;ellipse;4.25E-08;false;2520;1087;48
111415;9.56E-07;regulation of signaling pathway;14305;35466;1003;6.019584893;14;22.18107301;ellipse;4.65E-08;false;35466;1087;123
111476;9.78E-07;developmental process;14305;32502;3235;6.009527576;14;35.7211422;ellipse;4.78E-08;false;32502;1087;319
112409;1.09E-06;anatomical structure morphogenesis;14305;9653;1218;5.961295276;14;23.91652149;ellipse;5.37E-08;false;9653;1087;143
111622;1.12E-06;catabolic process;14305;9056;1006;5.952334211;14;22.18107301;ellipse;5.51E-08;false;9056;1087;123
112229;1.15E-06;regulation of intracellular protein transport;14305;33157;79;5.938753666;14;9.38083152;ellipse;5.72E-08;false;33157;1087;22
112527;1.28E-06;steroid hormone receptor signaling pathway;14305;30518;61;5.89429047;14;8.717797887;ellipse;6.36E-08;false;30518;1087;19
116448;1.43E-06;protein complex biogenesis;14305;70271;507;5.843486984;14;17.08800749;ellipse;7.23E-08;false;70271;1087;73
116449;1.43E-06;protein complex assembly;14305;6461;507;5.843486984;14;17.08800749;ellipse;7.23E-08;false;6461;1087;73
111213;1.50E-06;protein ubiquitination;14305;16567;189;5.823834527;14;12.16552506;ellipse;7.60E-08;false;16567;1087;37
115234;1.53E-06;regulation of cytoskeleton organization;14305;51493;143;5.814012575;14;11.13552873;ellipse;7.81E-08;false;51493;1087;31
112233;2.12E-06;dephosphorylation;14305;16311;145;5.672886397;14;11.13552873;ellipse;1.09E-07;false;16311;1087;31
