SUID;adjustedPValue_Bingo-glioma-unique;description_Bingo-glioma-unique;N_Bingo-glioma-unique;name;nn_Bingo-glioma-unique;nodeFillColor_Bingo-glioma-unique;nodeFontSize_Bingo-glioma-unique;nodeSize_Bingo-glioma-unique;nodeType_Bingo-glioma-unique;pValue_Bingo-glioma-unique;selected;shared name;X_Bingo-glioma-unique;xx_Bingo-glioma-unique
133723;2.49E-32;transmembrane receptor protein tyrosine kinase signaling pathway;14306;7169;219;31.6040574;14;14.28285686;ellipse;9.18E-36;false;7169;348;51
133722;3.53E-31;enzyme linked receptor protein signaling pathway;14306;7167;346;30.45164441;14;15.49193338;ellipse;2.61E-34;false;7167;348;60
133400;1.59E-28;signaling pathway;14306;23033;2100;27.79965341;14;23.57965225;ellipse;1.75E-31;false;23033;348;139
134221;3.81E-28;signaling;14306;23052;3131;27.41911477;14;26.30589288;ellipse;5.62E-31;false;23052;348;173
133436;4.25E-28;post-translational protein modification;14306;43687;1266;27.37114285;14;20.49390153;ellipse;7.84E-31;false;43687;348;105
134689;7.79E-28;phosphorus metabolic process;14306;6793;949;27.10843507;14;18.97366596;ellipse;2.01E-30;false;6793;348;90
134831;7.79E-28;phosphate metabolic process;14306;6796;949;27.10843507;14;18.97366596;ellipse;2.01E-30;false;6796;348;90
135272;2.95E-27;signal transduction;14306;7165;1878;26.52996327;14;22.627417;ellipse;8.71E-30;false;7165;348;128
135474;2.57E-24;signaling process;14306;23046;2157;23.58935731;14;23.06512519;ellipse;9.49E-27;false;23046;348;133
135475;2.57E-24;signal transmission;14306;23060;2157;23.58935731;14;23.06512519;ellipse;9.49E-27;false;23060;348;133
133401;1.43E-23;intracellular signaling pathway;14306;23034;1158;22.84568414;14;19.28730152;ellipse;5.79E-26;false;23034;348;93
133434;1.45E-23;regulation of biological process;14306;50789;6554;22.83893104;14;31.93743885;ellipse;6.41E-26;false;50789;348;255
134247;2.02E-22;regulation of cellular process;14306;50794;6224;21.69433298;14;31.30495168;ellipse;9.69E-25;false;50794;348;245
134909;2.15E-22;protein modification process;14306;6464;1526;21.66846135;14;20.59126028;ellipse;1.11E-24;false;6464;348;106
137893;3.52E-21;biological regulation;14306;65007;6943;20.45307877;14;32.18695388;ellipse;1.95E-23;false;65007;348;259
134063;1.18E-20;macromolecule modification;14306;43412;1607;19.92704946;14;20.59126028;ellipse;6.98E-23;false;43412;348;106
133215;2.48E-20;positive regulation of biological process;14306;48518;2208;19.60617585;14;22.53885534;ellipse;1.55E-22;false;48518;348;127
134871;7.74E-19;protein amino acid dephosphorylation;14306;6470;132;18.11139396;14;10.95445115;ellipse;5.14E-21;false;6470;348;30
135892;1.61E-18;regulation of phosphorylation;14306;42325;518;17.79377542;14;14.83239697;ellipse;1.13E-20;false;42325;348;55
135891;2.29E-18;regulation of phosphate metabolic process;14306;19220;542;17.64069537;14;14.96662955;ellipse;1.77E-20;false;19220;348;56
137105;2.29E-18;regulation of phosphorus metabolic process;14306;51174;542;17.64069537;14;14.96662955;ellipse;1.77E-20;false;51174;348;56
133581;2.38E-18;cellular protein metabolic process;14306;44267;2153;17.6240102;14;22;ellipse;1.93E-20;false;44267;348;121
134832;1.08E-17;dephosphorylation;14306;16311;145;16.96753332;14;10.95445115;ellipse;9.14E-20;false;16311;348;30
135865;1.82E-17;regulation of kinase activity;14306;43549;383;16.74109319;14;13.56465997;ellipse;1.61E-19;false;43549;348;46
135751;4.26E-17;intracellular signal transduction;14306;35556;833;16.37039652;14;16.4924225;ellipse;3.93E-19;false;35556;348;68
133767;5.35E-17;positive regulation of cellular process;14306;48522;2004;16.2718458;14;21.26029163;ellipse;5.13E-19;false;48522;348;113
138346;7.66E-17;regulation of transferase activity;14306;51338;398;16.11597699;14;13.56465997;ellipse;7.62E-19;false;51338;348;46
134769;8.77E-17;cell surface receptor linked signaling pathway;14306;7166;1280;16.05678257;14;18.54723699;ellipse;9.06E-19;false;7166;348;86
134752;6.14E-16;protein amino acid phosphorylation;14306;6468;657;15.21153247;14;15.23154621;ellipse;6.57E-18;false;6468;348;58
136628;1.26E-15;protein metabolic process;14306;19538;2611;14.89894973;14;22.8035085;ellipse;1.40E-17;false;19538;348;130
134727;1.48E-15;regulation of cell proliferation;14306;42127;848;14.82983416;14;16.24807681;ellipse;1.69E-17;false;42127;348;66
133455;4.24E-15;regulation of protein kinase activity;14306;45859;369;14.37239902;14;12.9614814;ellipse;5.01E-17;false;45859;348;42
134963;8.25E-15;phosphorylation;14306;16310;786;14.08341037;14;15.74801575;ellipse;1.00E-16;false;16310;348;62
135805;1.00E-14;cellular macromolecule metabolic process;14306;44260;3508;13.99804483;14;24.8997992;ellipse;1.26E-16;false;44260;348;155
133458;1.33E-14;intracellular protein kinase cascade;14306;7243;364;13.876425;14;12.80624847;ellipse;1.76E-16;false;7243;348;41
136018;1.33E-14;signal transmission via phosphorylation event;14306;23014;364;13.876425;14;12.80624847;ellipse;1.76E-16;false;23014;348;41
134098;6.22E-14;response to organic substance;14306;10033;869;13.20623626;14;16;ellipse;8.49E-16;false;10033;348;64
133245;2.52E-13;response to chemical stimulus;14306;42221;1465;12.59848866;14;18.54723699;ellipse;3.53E-15;false;42221;348;86
135514;4.55E-13;epidermal growth factor receptor signaling pathway;14306;7173;26;12.34227769;14;7.211102551;ellipse;6.54E-15;false;7173;348;13
133278;4.99E-13;macromolecule metabolic process;14306;43170;4017;12.30164989;14;25.69046516;ellipse;7.36E-15;false;43170;348;165
136095;5.82E-13;regulation of molecular function;14306;65009;1062;12.23515733;14;16.73320053;ellipse;8.80E-15;false;65009;348;70
133305;2.52E-12;negative regulation of cellular process;14306;48523;1844;11.59922693;14;19.6977156;ellipse;3.90E-14;false;48523;348;97
133791;4.13E-12;regulation of signaling pathway;14306;35466;1003;11.38449698;14;16.24807681;ellipse;6.54E-14;false;35466;348;66
133865;4.68E-12;multi-organism process;14306;51704;785;11.32950596;14;15.09966887;ellipse;7.60E-14;false;51704;348;57
135163;4.80E-12;regulation of catalytic activity;14306;50790;907;11.31890985;14;15.74801575;ellipse;7.96E-14;false;50790;348;62
133774;5.49E-12;negative regulation of biological process;14306;48519;2020;11.26038211;14;20.19900988;ellipse;9.31E-14;false;48519;348;102
133866;8.81E-12;interspecies interaction between organisms;14306;44419;327;11.05481891;14;11.83215957;ellipse;1.53E-13;false;44419;348;35
134514;9.70E-12;regulation of cell communication;14306;10646;1154;11.01338056;14;16.85229955;ellipse;1.72E-13;false;10646;348;71
134438;2.77E-11;positive regulation of cell proliferation;14306;8284;459;10.55787845;14;12.80624847;ellipse;5.00E-13;false;8284;348;41
133846;4.69E-11;cellular response to organic substance;14306;71310;239;10.32920922;14;10.77032961;ellipse;8.81E-13;false;71310;348;29
136317;4.69E-11;regulation of cell cycle;14306;51726;446;10.32920922;14;12.64911064;ellipse;8.66E-13;false;51726;348;40
133607;8.65E-11;positive regulation of kinase activity;14306;33674;245;10.06311425;14;10.77032961;ellipse;1.66E-12;false;33674;348;29
133606;2.11E-10;positive regulation of transferase activity;14306;51347;254;9.675481193;14;10.77032961;ellipse;4.13E-12;false;51347;348;29
137128;2.13E-10;interphase of mitotic cell cycle;14306;51329;102;9.671872195;14;8.717797887;ellipse;4.24E-12;false;51329;348;19
133508;2.52E-10;regulation of cellular protein metabolic process;14306;32268;559;9.598287084;14;13.26649916;ellipse;5.11E-12;false;32268;348;44
134367;2.91E-10;regulation of signal transduction;14306;9966;773;9.535915167;14;14.56021978;ellipse;6.01E-12;false;9966;348;53
137513;3.66E-10;regulation of signaling process;14306;23051;778;9.436537585;14;14.56021978;ellipse;7.69E-12;false;23051;348;53
134111;3.69E-10;regulation of protein metabolic process;14306;51246;635;9.432646158;14;13.7113092;ellipse;7.90E-12;false;51246;348;47
138468;3.98E-10;interphase;14306;51325;106;9.400122475;14;8.717797887;ellipse;8.66E-12;false;51325;348;19
135223;8.02E-10;regulation of receptor activity;14306;10469;21;9.095872904;14;6.32455532;ellipse;1.77E-11;false;10469;348;10
133845;2.11E-09;cellular response to chemical stimulus;14306;70887;399;8.675344524;14;11.83215957;ellipse;4.75E-11;false;70887;348;35
138912;4.63E-09;regulation of programmed cell death;14306;43067;860;8.334729636;14;14.69693846;ellipse;1.06E-10;false;43067;348;54
134998;4.92E-09;positive regulation of molecular function;14306;44093;638;8.307965462;14;13.41640786;ellipse;1.14E-10;false;44093;348;45
133840;5.23E-09;positive regulation of protein kinase activity;14306;45860;236;8.281250563;14;10.19803903;ellipse;1.23E-10;false;45860;348;26
137577;5.24E-09;cellular response to peptide hormone stimulus;14306;71375;83;8.280475945;14;8;ellipse;1.26E-10;false;71375;348;16
135167;5.53E-09;regulation of metabolic process;14306;19222;3919;8.257393393;14;24.49489743;ellipse;1.35E-10;false;19222;348;150
134403;5.74E-09;anatomical structure morphogenesis;14306;9653;1218;8.241090243;14;16.37070554;ellipse;1.44E-10;false;9653;348;67
137927;5.74E-09;regulation of cell death;14306;10941;867;8.241090243;14;14.69693846;ellipse;1.43E-10;false;10941;348;54
133290;6.55E-09;cellular process;14306;9987;9370;8.183881498;14;33.52610923;ellipse;1.68E-10;false;9987;348;281
136932;6.55E-09;cell cycle;14306;7049;794;8.183881498;14;14.28285686;ellipse;1.69E-10;false;7049;348;51
133236;7.18E-09;response to hormone stimulus;14306;9725;441;8.144041235;14;12;ellipse;1.88E-10;false;9725;348;36
133377;8.56E-09;regulation of apoptosis;14306;42981;852;8.067310818;14;14.56021978;ellipse;2.27E-10;false;42981;348;53
133715;1.11E-08;response to endogenous stimulus;14306;9719;493;7.953277921;14;12.32882801;ellipse;3.00E-10;false;9719;348;38
134053;1.34E-08;regulation of protein modification process;14306;31399;366;7.871896061;14;11.3137085;ellipse;3.66E-10;false;31399;348;32
133813;1.80E-08;positive regulation of cell communication;14306;10647;413;7.744880107;14;11.66190379;ellipse;4.98E-10;false;10647;348;34
