Matching.Attribute;biogrid;Ensembl;Ensembl by Entrez/NCBI combined;Label;Human Readable Label;entrez gene/locuslink;ncbi_gene_id;cl1.Status
ENSG00000107643;111585;ENSG00000107643;ENSG00000107643;MAPK8;SAPK1c;SAPK1c|MAPK8|JNK21B1/2|JNK|5599|JNK1|SAPK1|PRKM8|JNK-46|JNK1A2;5599;Outlier
ENSG00000112679;121264;ENSG00000112679;ENSG00000112679;DUSP22;DUSP22;56940|DUSP22|RP11-328C17.1|LMW-DSP2|JKAP|JSP-1|MKPX|VHX|JSP1|MKP-x|LMWDSP2;56940;"Outlier;Overlap"
ENSG00000119383;111516;ENSG00000119383;ENSG00000119383;PTPA;PTPA;PTPA|PPP2R4|PR53|5524|PP2A|RP11-247A12.4;5524;"Outlier;Overlap"
ENSG00000149554;107536;ENSG00000149554;ENSG00000149554;CHEK1;CHK1;CHK1|1111|CHEK1;1111;Outlier
ENSG00000154640;116150;ENSG00000154640;ENSG00000154640;BTG3;BTG3;BTG3|TOFA|TOB55|ANA|TOB5|10950;10950;Outlier
ENSG00000125170;120837;ENSG00000125170;ENSG00000125170;DOK4;DOK4;DOK4|55715;55715;"Cluster;Outlier"
ENSG00000078747;123747;ENSG00000078747;ENSG00000078747;ITCH;dJ468O1.1;dJ468O1.1|ITCH|AIP4|NAPP1|AIF4|ADMFD|83737;83737;"Cluster;Outlier"
ENSG00000082458;108085;ENSG00000082458;ENSG00000082458;DLG3;XLMR;XLMR|MRX|NEDLG|1741|DLG3|RP11-291O7.3|MRX90|SAP102|PPP1R82;1741;Outlier
ENSG00000186153;119707;ENSG00000186153;ENSG00000186153;WWOX;WWOX;WWOX|SCAR12|SDR41C1|FOR|51741|HHCMA56|WOX1|PRO0128|D16S432E|FRA16D;51741;"Cluster;Outlier"
ENSG00000069869;110811;ENSG00000069869;ENSG00000069869;NEDD4;NEDD4-1;NEDD4-1|PIG53|NEDD4|4734|RPF1;4734;"Cluster;Outlier"
ENSG00000181852;115488;ENSG00000181852;ENSG00000181852;RNF41;NRDP1;NRDP1|10193|SBBI03|FLRF|RNF41;10193;Outlier
ENSG00000196363;116272;ENSG00000196363;ENSG00000196363;WDR5;BIG-3;11091|BIG-3|SWD3|WDR5|CFAP89;11091;Outlier
ENSG00000118058;110443;ENSG00000118058;ENSG00000118058;KMT2A;MLL1;MLL1|hCG_1732268|HTRX1|TET1-MLL|4297|KMT2A|MLL|CXXC7|HRX|WDSTS|TRX1|ALL-1|MLL/GAS7|MLL1A;4297;"Cluster;Outlier"
ENSG00000164985;116339;ENSG00000164985;ENSG00000164985;PSIP1;DFS70;DFS70|LEDGF|PSIP2|PSIP1|11168|p52|PAIP|p75;11168;Outlier
ENSG00000136997;110694;ENSG00000136997;ENSG00000136997;MYC;c-Myc;4609|c-Myc|MYC|MYCC|MRTL|bHLHe39;4609;Outlier
ENSG00000129691;114528;ENSG00000129691;ENSG00000129691;ASH2L;ASH2;ASH2|Bre2|9070|ASH2L|ASH2L2|ASH2L1;9070;"Cluster;Outlier"
ENSG00000127329;111751;ENSG00000127329;ENSG00000127329;PTPRB;VEPTP;VEPTP|PTPRB|HPTPB|PTPB|R-PTP-BETA|5787|HPTP-BETA;5787;"Cluster;Outlier"
ENSG00000184937;113327;ENSG00000184937;ENSG00000184937;WT1;EWS-WT1;EWS-WT1|WT1|WT33|GUD|NPHS4|WIT-2|7490|AWT1|WAGR;7490;Outlier
ENSG00000096070;118036;ENSG00000096070;ENSG00000096070;BRPF3;RP3-524E15.1;RP3-524E15.1|27154|BRPF3;27154;"Cluster;Outlier"
ENSG00000163875;122280;ENSG00000163875;ENSG00000163875;MEAF6;MEAF6;MEAF6|RP3-423B22.2|NY-SAR-91|EAF6|64769|C1orf149|CENP-28;64769;"Cluster;Outlier"
ENSG00000156983;113614;ENSG00000156983;ENSG00000156983;BRPF1;BRPF1;BRPF1|7862|BR140;7862;"Cluster;Outlier"
