Matching.Attribute;Ensembl;Ensembl-mapping-by-Label-as-HGNC;Ensembl-mapping-by-name-as-entrez;cl1.Status;entrez gene/locuslink;biogrid;Label;ncbi_gene_id;name;shared name
[ENSG00000113070];ENSG00000113070;;ENSG00000113070;Cluster;[DTS, DTR, DTSF, HEGFL, 1839, HBEGF];[108172];DTS;1839;1839;"1839;ENSP00000230990"
[ENSG00000010610];ENSG00000010610;ENSG00000010610;ENSG00000010610;Outlier;[CD4, CD4mut, 920];[107358];CD4;920;920;"920;ENSP00000011653"
[ENSG00000004468];ENSG00000004468;;ENSG00000004468;"Cluster;Outlier";[T10, ADPRC 1, 952, CD38];[107390];CD38;952;ENSP00000226279;ENSP00000226279
[ENSG00000041357];ENSG00000041357;ENSG00000041357;ENSG00000041357;Outlier;[PSMA4, 5685, HsT17706, PSC9, HC9];[111658];PSMA4;5685;ENSP00000044462;"5685;ENSP00000044462"
[ENSG00000123374];ENSG00000123374;;ENSG00000123374;Outlier;[p33, 1017, CDK2, CDKN2];[107452];CDK2;1017;ENSP00000266970;"1017;ENSP00000266970"
[ENSG00000011465];ENSG00000011465;;ENSG00000011465;Outlier;[1634, PGII, PGS2, PG40, DSPG2, SLRR1B, DCN, CSCD];[108002];PGII;1634;1634;"1634;ENSP00000052754"
[ENSG00000146648];ENSG00000146648;;ENSG00000146648;Outlier;[PIG61, ERBB1, mENA, ERBB, HER1, NISBD2, 1956, EGFR];[108276];EGFR;1956;ENSP00000275493;"1956;ENSP00000275493"
[ENSG00000092969];ENSG00000092969;ENSG00000092969;ENSG00000092969;Outlier;[TGFB2, TGF-beta2, LDS4, 7042];[112900];TGFB2;7042;ENSP00000355896;"7042;ENSP00000355896"
[ENSG00000112576];ENSG00000112576;ENSG00000112576;ENSG00000112576;"Cluster;Outlier";[CCND3, 896, RP5-973N23.3];[107336];CCND3;896;ENSP00000362082;ENSP00000362082
[ENSG00000145386];ENSG00000145386;ENSG00000145386;ENSG00000145386;"Cluster;Outlier";[CCNA2, CCN1, CCNA, 890];[107331];CCNA2;890;890;890
[ENSG00000085721];ENSG00000085721;;ENSG00000085721;Outlier;[A-270G1.2, RRN3, TIFIA, 54700];[120102];A-270G1.2;54700;54700;"54700;ENSP00000198767"
[ENSG00000105173];ENSG00000105173;ENSG00000105173;ENSG00000105173;"Outlier;Overlap";[CCNE1, 898, CCNE];[107338];CCNE1;898;898;898
[ENSG00000132470];ENSG00000132470;ENSG00000132470;ENSG00000132470;Outlier;[3691, ITGB4, CD104];[109897];ITGB4;3691;ENSP00000200181;"3691;ENSP00000200181"
[ENSG00000141736];ENSG00000141736;;ENSG00000141736;Outlier;[CD340, MLN 19, TKR1, NGL, ERBB2, HER-2/neu, 2064, HER2, HER-2, NEU];[108376];CD340;2064;2064;"2064;ENSP00000269571"
[ENSG00000091831];ENSG00000091831;;ENSG00000091831;Outlier;[ESR, ESTRR, Era, 2099, RP1-130E4.1, ESR1, ER, ESRA, NR3A1];[108403];ESR;2099;2099;"2099;ENSP00000206249"
[ENSG00000110092];ENSG00000110092;;ENSG00000110092;"Cluster;Outlier";[595, PRAD1, CCND1, D11S287E, BCL1, U21B31];[107067];CCND1;595;ENSP00000227507;ENSP00000227507
[ENSG00000094804];ENSG00000094804;;ENSG00000094804;"Cluster;Outlier";[990, HsCDC18, CDC18L, CDC6, HsCDC6];[107426];CDC6;990;ENSP00000209728;ENSP00000209728
[ENSG00000157456];ENSG00000157456;ENSG00000157456;ENSG00000157456;"Cluster;Outlier";[CCNB2, 9133, HsT17299];[114581];CCNB2;9133;ENSP00000288207;ENSP00000288207
[ENSG00000134057];ENSG00000134057;ENSG00000134057;ENSG00000134057;"Outlier;Overlap";[891, CCNB1, CCNB];[107332];CCNB1;891;ENSP00000256442;ENSP00000256442
[ENSG00000119699];ENSG00000119699;;ENSG00000119699;Outlier;[7043, ARVD, TGF-beta3, TGFB3, ARVD1, RNHF];[112901];TGFB3;7043;ENSP00000238682;"7043;ENSP00000238682"
[ENSG00000099341];ENSG00000099341;ENSG00000099341;ENSG00000099341;Outlier;[PSMD8, HEL-S-91n, HYPF, HIP6, S14, Rpn12, 5714, Nin1p, p31];[111686];PSMD8;5714;ENSP00000215071;"5714;ENSP00000215071"
[ENSG00000099804];ENSG00000099804;;ENSG00000099804;Outlier;[E2-CDC34, CDC34, 997, UBE2R1, UBC3, UBCH3];[107432];E2-CDC34;997;997;"997;ENSP00000215574"
