Matching.Attribute;;cl1.Status;Ensembl;Ensembl-by-entrez_ncbi-combined;Ensembl-by-hgnc-label;entrez gene/locuslink;Human Readable Label;Label;biogrid;ncbi_gene_id
ENSG00000154188;;"Cluster;Outlier";ENSG00000154188;ENSG00000154188;ENSG00000154188;ANGPT1|AGPT|AGP1|ANG1|284;ANGPT1;ANGPT1;106781;284
ENSG00000101280;;"Cluster;Outlier";ENSG00000101280;ENSG00000101280;ENSG00000101280;ANGPT4|AGP4|ANG4|ANG-3|51378;ANGPT4;ANGPT4;119510;51378
ENSG00000111424;;Outlier;ENSG00000111424;ENSG00000111424;;PPP1R163|NR1I1|7421|VDR;PPP1R163;VDR;113264;7421
ENSG00000140396;;Outlier;ENSG00000140396;ENSG00000140396;ENSG00000140396;NCOA2|GRIP1|NCoA-2|bHLHe75|KAT13C|TIF2|SRC2|10499;NCOA2;NCOA2;115761;10499
ENSG00000248333;;Outlier;ENSG00000248333;ENSG00000248333;;CDK11-p58|p58CLK-1|CDC2L1|PITSLREA|CDK11B|p58|984|CLK-1|p58CDC2L1|CDK11-p110|CDK11|PK58|CDK11-p46;CDK11-p58;CDK11B;107421;984
ENSG00000143320;;Outlier;ENSG00000143320;ENSG00000143320;;RBP6|CRABP-II|CRABP2|RP11-66D17.4|1382;RBP6;CRABP2;107773;1382
ENSG00000107643;;Outlier;ENSG00000107643;ENSG00000107643;;SAPK1c|MAPK8|JNK21B1/2|JNK|5599|JNK1|SAPK1|PRKM8|JNK-46|JNK1A2;SAPK1c;MAPK8;111585;5599
ENSG00000112679;;"Outlier;Overlap";ENSG00000112679;ENSG00000112679;ENSG00000112679;56940|DUSP22|RP11-328C17.1|LMW-DSP2|JKAP|JSP-1|MKPX|VHX|JSP1|MKP-x|LMWDSP2;DUSP22;DUSP22;121264;56940
ENSG00000119383;;"Outlier;Overlap";ENSG00000119383;ENSG00000119383;ENSG00000119383;PTPA|PPP2R4|PR53|5524|PP2A|RP11-247A12.4;PTPA;PTPA;111516;5524
ENSG00000149554;;Outlier;ENSG00000149554;ENSG00000149554;;CHK1|1111|CHEK1;CHK1;CHEK1;107536;1111
ENSG00000154640;;Outlier;ENSG00000154640;ENSG00000154640;ENSG00000154640;BTG3|TOFA|TOB55|ANA|TOB5|10950;BTG3;BTG3;116150;10950
ENSG00000125170;;Outlier;ENSG00000125170;ENSG00000125170;ENSG00000125170;DOK4|55715;DOK4;DOK4;120837;55715
ENSG00000078747;;"Cluster;Outlier";ENSG00000078747;ENSG00000078747;;dJ468O1.1|ITCH|AIP4|NAPP1|AIF4|ADMFD|83737;dJ468O1.1;ITCH;123747;83737
ENSG00000082458;;Outlier;ENSG00000082458;ENSG00000082458;;XLMR|MRX|NEDLG|1741|DLG3|RP11-291O7.3|MRX90|SAP102|PPP1R82;XLMR;DLG3;108085;1741
ENSG00000186153;;"Cluster;Outlier";ENSG00000186153;ENSG00000186153;ENSG00000186153;WWOX|SCAR12|SDR41C1|FOR|51741|HHCMA56|WOX1|PRO0128|D16S432E|FRA16D;WWOX;WWOX;119707;51741
ENSG00000069869;;"Cluster;Outlier";ENSG00000069869;ENSG00000069869;;NEDD4-1|PIG53|NEDD4|4734|RPF1;NEDD4-1;NEDD4;110811;4734
ENSG00000181852;;Outlier;ENSG00000181852;ENSG00000181852;;NRDP1|10193|SBBI03|FLRF|RNF41;NRDP1;RNF41;115488;10193
ENSG00000196363;;"Cluster;Outlier";ENSG00000196363;ENSG00000196363;;11091|BIG-3|SWD3|WDR5|CFAP89;BIG-3;WDR5;116272;11091
ENSG00000118058;;"Cluster;Outlier";ENSG00000118058;ENSG00000118058;;MLL1|hCG_1732268|HTRX1|TET1-MLL|4297|KMT2A|MLL|CXXC7|HRX|WDSTS|TRX1|ALL-1|MLL/GAS7|MLL1A;MLL1;KMT2A;110443;4297
ENSG00000164985;;"Cluster;Outlier";ENSG00000164985;ENSG00000164985;;DFS70|LEDGF|PSIP2|PSIP1|11168|p52|PAIP|p75;DFS70;PSIP1;116339;11168
ENSG00000136997;;"Cluster;Outlier";ENSG00000136997;ENSG00000136997;;4609|c-Myc|MYC|MYCC|MRTL|bHLHe39;c-Myc;MYC;110694;4609
ENSG00000129691;;"Cluster;Outlier";ENSG00000129691;ENSG00000129691;;ASH2|Bre2|9070|ASH2L|ASH2L2|ASH2L1;ASH2;ASH2L;114528;9070
ENSG00000127329;;Outlier;ENSG00000127329;ENSG00000127329;;VEPTP|PTPRB|HPTPB|PTPB|R-PTP-BETA|5787|HPTP-BETA;VEPTP;PTPRB;111751;5787
ENSG00000184937;;"Cluster;Outlier";ENSG00000184937;ENSG00000184937;;EWS-WT1|WT1|WT33|GUD|NPHS4|WIT-2|7490|AWT1|WAGR;EWS-WT1;WT1;113327;7490
ENSG00000096070;;"Cluster;Outlier";ENSG00000096070;ENSG00000096070;;RP3-524E15.1|27154|BRPF3;RP3-524E15.1;BRPF3;118036;27154
ENSG00000163875;;"Cluster;Outlier";ENSG00000163875;ENSG00000163875;ENSG00000163875;MEAF6|RP3-423B22.2|NY-SAR-91|EAF6|64769|C1orf149|CENP-28;MEAF6;MEAF6;122280;64769
ENSG00000156983;;"Cluster;Outlier";ENSG00000156983;ENSG00000156983;ENSG00000156983;BRPF1|7862|BR140;BRPF1;BRPF1;113614;7862
ENSG00000168884;;"Cluster;Outlier";ENSG00000168884;ENSG00000168884;ENSG00000168884;TNIP2|RP3-474M20.1|FLIP1|KLIP|79155|ABIN2;TNIP2;TNIP2;122573;79155
ENSG00000113575;;"Cluster;Outlier";ENSG00000113575;ENSG00000113575;ENSG00000113575;PPP2CA|RP-C|PP2Ac|PP2Calpha|5515|PP2CA;PPP2CA;PPP2CA;111507;5515
ENSG00000118689;;Outlier;ENSG00000118689;ENSG00000118689;;AF6q21|FKHRL1|FOXO3A|FOXO3|2309|FOXO2|FKHRL1P2;AF6q21;FOXO3;108598;2309
ENSG00000091879;;"Cluster;Outlier";ENSG00000091879;ENSG00000091879;ENSG00000091879;ANGPT2|ANG2|AGPT2|285;ANGPT2;ANGPT2;106782;285
ENSG00000112715;;Cluster;ENSG00000112715;ENSG00000112715;;MVCD1|7422|RP1-261G23.1|VEGF|VPF|VEGFA;MVCD1;VEGFA;113265;7422
ENSG00000102010;;Outlier;ENSG00000102010;ENSG00000102010;;660|PSCTK3|BMX|ETK|PSCTK2;PSCTK3;BMX;107128;660
ENSG00000167548;;"Cluster;Outlier";ENSG00000167548;ENSG00000167548;;KMS|KMT2D|AAD10|KABUK1|MLL2|TNRC21|MLL4|ALR|CAGL114|8085;KMS;KMT2D;113758;8085
ENSG00000102871;;"Cluster;Outlier";ENSG00000102871;ENSG00000102871;;Hs.89862|TRADD|8717;Hs.89862;TRADD;114257;8717
ENSG00000151694;;"Cluster;Overlap";ENSG00000151694;ENSG00000151694;ENSG00000168619;ADAM18|ADAM17|NISBD1|CSVP|NISBD|TACE|CD156B|6868;ADAM18;ADAM17;112731;6868
ENSG00000170689;;"Cluster;Outlier";ENSG00000170689;ENSG00000170689;;3219|HOX2|HOX-2.5|HOXB9|HOX2E;HOX2;HOXB9;109459;3219
ENSG00000144554;;"Cluster;Outlier";ENSG00000144554;ENSG00000144554;ENSG00000144554;FANCD2|2177|FA-D2|FA4|FAD|FAD2|FACD|FANCD;FANCD2;FANCD2;108474;2177
ENSG00000156650;;"Cluster;Outlier";ENSG00000156650;ENSG00000156650;;MYST4|MORF|KAT6B|ZC2HC6B|querkopf|23522|GTPTS|qkf|MOZ2;MYST4;KAT6B;117069;23522
ENSG00000159388;;"Cluster;Outlier";ENSG00000159388;ENSG00000159388;;PC3|BTG2|7832|TIS21;PC3;BTG2;113593;7832
ENSG00000146072;;"Cluster;Outlier";ENSG00000146072;ENSG00000146072;;UNQ437/PRO868|27242|BM-018|DR6|CD358|TNFRSF21;UNQ437/PRO868;TNFRSF21;118090;27242
ENSG00000142192;;"Cluster;Outlier";ENSG00000142192;ENSG00000142192;ENSG00000142192;APP|AAA|ABETA|CTFgamma|PN-II|PN2|APPI|CVAP|AD1|351|ABPP;APP;APP;106848;351
ENSG00000137693;;"Cluster;Outlier";ENSG00000137693;ENSG00000137693;ENSG00000137693;YAP1|YAP2|YAP65|COB1|YKI|YAP|10413;YAP1;YAP1;115684;10413
ENSG00000102755;;Cluster;ENSG00000102755;ENSG00000102755;ENSG00000102755;FLT1|VEGFR1|2321|VEGFR-1|FLT-1|FLT;FLT1;FLT1;108609;2321
ENSG00000147443;;"Cluster;Outlier";ENSG00000147443;ENSG00000147443;ENSG00000147443;DOK2|9046|p56DOK|p56dok-2;DOK2;DOK2;114508;9046
ENSG00000161203;;Outlier;ENSG00000161203;ENSG00000161203;;AP50|1173|mu2|AP2M1|CLAPM1;AP50;AP2M1;107587;1173
ENSG00000166501;;Outlier;ENSG00000166501;ENSG00000166501;;PRKCB2|PRKCB1|PRKCB|5579|PKC-beta|PKCB;PRKCB2;PRKCB;111565;5579
ENSG00000102606;;Outlier;ENSG00000102606;ENSG00000102606;;PIXB|8874|P50|P85|RP11-494P5.1|Nbla10314|P50BP|P85COOL1|P85SPR|ARHGEF7|PAK3|COOL1|BETA-PIX|COOL-1;PIXB;ARHGEF7;114393;8874
ENSG00000101336;;Outlier;ENSG00000101336;ENSG00000101336;ENSG00000101336;HCK|RP5-836N17.3|p59Hck|3055|JTK9|p61Hck;HCK;HCK;109305;3055
ENSG00000154127;;Outlier;ENSG00000154127;ENSG00000154127;;TULA-2|UBASH3B|STS1|p70|TULA2|84959|STS-1;TULA-2;UBASH3B;124390;84959
ENSG00000151491;;Outlier;ENSG00000151491;ENSG00000151491;ENSG00000151491;EPS8|2059|DFNB102;EPS8;EPS8;108373;2059
ENSG00000254087;;Outlier;ENSG00000254087;ENSG00000254087;ENSG00000254087;LYN|p53Lyn|p56Lyn|4067|JTK8;LYN;LYN;110245;4067
ENSG00000253729;;Outlier;ENSG00000253729;ENSG00000253729;;5591|DNAPK|HYRC|DNA-PKcs|XRCC7|PRKDC|IMD26|p350|DNPK1|HYRC1;DNAPK;PRKDC;111577;5591
ENSG00000176105;;"Cluster;Outlier";ENSG00000176105;ENSG00000176105;;HsT441|YES1|c-yes|P61-YES|Yes|7525;HsT441;YES1;113357;7525
ENSG00000129515;;Outlier;ENSG00000129515;ENSG00000129515;;58533|MSTP010|TFAF2|SNX6;MSTP010;SNX6;121852;58533
ENSG00000085832;;Outlier;ENSG00000085832;ENSG00000085832;;AF-1P|AF1P|EPS15|MLLT5|2060;AF-1P;EPS15;108374;2060
ENSG00000198712;;Outlier;ENSG00000198712;ENSG00000198712;;COII|COX2|4513|MTCO2;COII;MT-CO2;110616;4513
ENSG00000168374;;"Cluster;Outlier";ENSG00000168374;ENSG00000168374;ENSG00000168374;ARF4|ARF2|378;ARF4;ARF4;106873;378
ENSG00000099942;;Outlier;ENSG00000099942;ENSG00000099942;ENSG00000099942;1399|CRKL;CRKL;CRKL;107789;1399
ENSG00000165527;;Outlier;ENSG00000165527;ENSG00000165527;ENSG00000165527;382|ARF6;ARF6;ARF6;106877;382
ENSG00000044115;;Outlier;ENSG00000044115;ENSG00000044115;ENSG00000044115;1495|CTNNA1|CAP102;CTNNA1;CTNNA1;107876;1495
ENSG00000096384;;Outlier;ENSG00000096384;ENSG00000096384;;D6S182|3326|HSP90AB1|RP1-302G2.1|HSP90B|HSPC2|HSPCB|HSP84;D6S182;HSP90AB1;109558;3326
